title; tags; date; status; subject; chapterWeek; coverImage; unit; prior; next; reading; bookTitle; studentDeliverableS; semester; relations; note; reference
DA - Module 3: How Texts Hold Together; AppliedLinguistics, DiscourseAnalysis; 2026-08-24T00:00:00.000Z -> 2026-08-30T00:00:00.000Z; InBox; Discourse Analysis; 3; Ciudad-Universitaria-62-2048x1365; Discourse Analysis Unit II: Making Meaning in Text; DA - Module 2: Speaking, Writing, and Communicative Purpose; DA - Module 4: Theme, Rheme, and the Flow of Information; Paltridge (2022): Ch. 6, §§6.2–6.9, pp. 116–129Celce-Murcia & Olshtain (2000): Ch. 1, pp. 7–8 Ch. 4, beginning p. 53 Ch. 5, pp. 83–84; How Texts Hold Together; ; Fall 2026; ; DA Chapter 3 Note; ./DA%20-%20Module%203%20How%20Texts%20Hold%20Together.md
DA - Module 2: Speaking, Writing, and Communicative Purpose; DiscourseAnalysis, AppliedLinguistics; 2026-08-17T00:00:00.000Z -> 2026-08-23T00:00:00.000Z; InBox; Discourse Analysis; 2; Ciudad-Universitaria-62-2048x1365; Discourse Analysis Unit I: Foundations: Text, Context, and History; DA - Module 1: Entering the World of Discourse; DA - Module 3: How Texts Hold Together; Paltridge (2022): Ch. 4, §§4.1.5–4.1.6, pp. 70–71 §4.5, p. 75 ff.Celce-Murcia & Olshtain (2000): Ch. 1, pp. 5–7 Ch. 8, pp. 142–145; Speaking, Writing, and Communicative Purpose; ; Fall 2026; ; DA Week 2 Note; ./DA%20-%20Module%202%20Speaking,%20Writing,%20and%20Communicative%20Purpose.md
DA - Module 1: Entering the World of Discourse; DiscourseAnalysis, AppliedLinguistics; 2026-08-10T00:00:00.000Z -> 2026-08-16T00:00:00.000Z; Ready; Discourse Analysis; 1; Ciudad-Universitaria-62-2048x1365; Discourse Analysis Unit I: Foundations: Text, Context, and History; ; DA - Module 2: Speaking, Writing, and Communicative Purpose; Readings for this week: Chapter 1 from Celce-Murcia (2000)_Discourse and Context.pdf; Entering the World of Discourse; ; Fall 2026; ; DA Week 1 note; ./DA%20-%20Module%201%20Entering%20the%20World%20of%20Discourse.md
DA - Chapter 5: Time, Viewpoint, and Narrative Movement; DiscourseAnalysis, AppliedLinguistics; 2026-09-07T00:00:00.000Z -> 2026-09-13T00:00:00.000Z; InBox; Discourse Analysis; ; Ciudad-Universitaria-62-2048x1365; Discourse Analysis Unit II: Making Meaning in Text; DA - Module 4: Theme, Rheme, and the Flow of Information; DA - Chapter 6: Positioning the Writer and Reader; ; Time, Viewpoint, and Narrative Movement; ; Fall 2026; ; ; ./DA%20-%20Chapter%205%20Time,%20Viewpoint,%20and%20Narrative%20Movement.md
DA - Module 4: Theme, Rheme, and the Flow of Information; DiscourseAnalysis, AppliedLinguistics; 2026-08-31T00:00:00.000Z -> 2026-09-06T00:00:00.000Z; InBox; Discourse Analysis; ; Ciudad-Universitaria-62-2048x1365; Discourse Analysis Unit II: Making Meaning in Text; DA - Module 3: How Texts Hold Together; DA - Chapter 5: Time, Viewpoint, and Narrative Movement; ; Theme, Rheme, and the Flow of Information; ; Fall 2026; ; DA Module 4 Note; ./DA%20-%20Module%204%20Theme,%20Rheme,%20and%20the%20Flow%20of%20Information.md
Discourse Analysis Module 17; DiscourseAnalysis, AppliedLinguistics; 2026-11-30T00:00:00.000Z -> 2026-12-06T00:00:00.000Z; InBox; Discourse Analysis; ; Ciudad-Universitaria-62-2048x1365; Discourse Analysis Unit IV: Discourse, Culture, and Reading; DA - Chapter 16: Independent Analysis and Professional Transfer; ; ; Discourse Analysis Module 17; ; Fall 2026; ; ; ./Discourse%20Analysis%20Module%2017.md
DA - Chapter 6: Positioning the Writer and Reader; DiscourseAnalysis, AppliedLinguistics; 2026-09-14T00:00:00.000Z -> 2026-09-20T00:00:00.000Z; InBox; Discourse Analysis; ; Ciudad-Universitaria-62-2048x1365; Discourse Analysis Unit II: Making Meaning in Text; DA - Chapter 5: Time, Viewpoint, and Narrative Movement; DA - Chapter 7: Doing Things with Words; ; Positioning the Writer and Reader; ; Fall 2026; ; ; ./DA%20-%20Chapter%206%20Positioning%20the%20Writer%20and%20Reader.md
DA - Chapter 14: Seeing the Shape of a Text; DiscourseAnalysis, AppliedLinguistics; 2026-11-09T00:00:00.000Z -> 2026-11-15T00:00:00.000Z; InBox; Discourse Analysis; ; Ciudad-Universitaria-62-2048x1365; Discourse Analysis Unit IV: Discourse, Culture, and Reading; DA - Chapter 13: Culture, Rhetoric, and Organizational Expectations; DA - Chapter 15: Teaching Readers to Navigate Discourse; ; Seeing the Shape of a Text; ; Fall 2026; ; ; ./DA%20-%20Chapter%2014%20Seeing%20the%20Shape%20of%20a%20Text.md
DA - Chapter 9: Relationship Talk and Task Talk; DiscourseAnalysis, AppliedLinguistics; 2026-10-05T00:00:00.000Z -> 2026-10-11T00:00:00.000Z; InBox; Discourse Analysis; ; Ciudad-Universitaria-62-2048x1365; Discourse Analysis Unit III: Meaning in Interaction; DA - Chapter 8: The Architecture of Conversation; DA - Chapter 10: From Sound to Evidence; ; Relationship Talk and Task Talk; ; Fall 2026; ; ; ./DA%20-%20Chapter%209%20Relationship%20Talk%20and%20Task%20Talk.md
DA - Chapter 12: Processing Speech and Writing; DiscourseAnalysis, AppliedLinguistics; 2026-10-26T00:00:00.000Z -> 2026-11-01T00:00:00.000Z; InBox; Discourse Analysis; ; Ciudad-Universitaria-62-2048x1365; Discourse Analysis Unit IV: Discourse, Culture, and Reading; DA - Chapter 11: When AI Writes the Dialogue; DA - Chapter 13: Culture, Rhetoric, and Organizational Expectations; ; Processing Speech and Writing; ; Fall 2026; ; ; ./DA%20-%20Chapter%2012%20Processing%20Speech%20and%20Writing.md
